ds,y
1769987080.0548182,66
1769987080.0548613,2962
1769987080.0642316,66
1769987080.0763807,1514
1769987080.0764344,66
1769987080.0866826,2962
1769987080.0968122,66
1769987080.0969431,2962
1769987080.0975244,1514
1769987080.1054955,66
1769987080.1057122,2962
1769987080.1141717,2962
1769987080.1229475,74
1769987080.1230433,66
1769987080.1231513,66
1769987080.1238286,2962
1769987080.1411164,2962
1769987080.1466045,2962
1769987080.155419,66
1769987080.155442,66
1769987080.1599724,66
1769987080.1599917,2962
1769987080.1627066,66
1769987080.163014,66
1769987080.1753051,66
1769987080.1756423,2962
1769987080.179891,2962
1769987080.1930845,2962
1769987080.1964443,66
1769987080.2006004,66
